Date,F1,,,F2,,,F3,,,F4,,,F5,,,F6,,,F7,,,F8,,,F9,,
,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3
2025-11-25,0,0,0,0,0,0,0,0,0,2100,2100,2200,2100,2100,2200,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-26,3800,4000,4000,3800,4000,4000,0,0,0,2000,2100,2200,0,0,0,0,0,0,0,0,0,2000,2100,2200,2100,2000,2100
2025-11-27,500,500,1000,600,600,600,0,0,0,1900,2100,2000,2000,2100,2200,0,0,0,0,0,0,2100,2100,2100,2000,2050,2200
2025-11-28,4000,4100,4000,4100,4000,4000,2100,2000,2000,2100,2100,2200,2100,2100,2200,0,0,0,0,0,0,2100,2150,2100,0,0,0
2025-11-29,0,0,0,0,0,0,2200,2100,2100,2100,2100,2200,2200,2300,2200,2,2,2,2,2,2,2100,2200,2150,2200,2250,2200
2025-11-30,500,500,500,500,500,500,2200,2000,2100,2000,2200,2100,2100,2200,2100,2,2,2,2,2,2,2000,2150,2200,2200,2200,2150
2025-12-01,700,500,700,500,500,700,2200,2100,2200,2100,2200,2100,2100,2200,2200,2000,2100,2200,2100,2000,2100,0,0,0,2200,2150,2200
2025-12-02,4100,4000,4100,4100,4200,4000,2100,2000,2100,2100,2200,2200,2100,2200,2200,2100,2000,2100,2100,2000,2100,0,0,0,2200,2150,2200
2025-12-03,700,700,500,600,500,500,2100,2000,2100,2100,2000,2100,2100,2200,2000,2,2,2,2,2,2,2050,2150,2200,2100,2200,2150
2025-12-04,0,0,0,0,0,0,2200,2100,2200,2100,2200,2200,2200,2100,2200,2,2,2,2,2,2,2100,2100,2100,2100,2100,2000
2025-12-05,700,600,700,600,600,600,2200,2000,2100,2100,2200,2100,2000,2100,2100,2,2,2,2,2,2,2200,2200,2200,2200,2200,2200
2025-12-06,2100,2100,2100,2000,2100,2100,2200,2000,2100,2100,2200,2100,2100,2200,2100,2,2,2,2,2,2,2100,2100,2100,2200,2000,2000
2025-12-07,2100,2100,2100,2100,2100,2100,2200,2100,2000,2100,2200,2100,2100,2100,2200,2,2,2,2,2,2,2100,2100,2100,2200,2200,2200
2025-12-08,2100,2000,2100,0,0,0,2200,2100,2000,2100,2200,2100,2100,2200,2100,2100,2100,2000,2100,200,2100,2000,2050,2000,2000,2050,2000
2025-12-09,4600,4400,4700,4300,4500,4600,2100,2000,2100,1800,2000,2200,2100,2100,2200,2100,200,2100,2100,2100,2000,2100,2200,2100,2200,2100,2000
2025-12-10,0,0,0,0,0,0,2100,2000,2100,2000,2100,2200,2100,2200,2100,2100,2000,2100,2100,2100,2000,2100,2200,2000,2200,2100,2000
2025-12-11,2000,2100,2100,2000,2200,2200,2150,2050,2000,2000,2000,2200,2100,2200,2100,0,0,0,0,0,0,2,2,2,2,2,2
2025-12-12,2100,2000,2100,2000,2100,2100,2000,2000,2050,0,0,0,0,0,0,2,2,2,2,2,2,2100,2000,2100,2200,2100,2000
2025-12-13,2000,2100,2100,2000,2100,2200,2000,2100,2050,2100,2200,2100,2100,2100,2200,2,2,2,2,2,2,2200,2000,2100,2200,2100,2000
2025-12-14,2000,1900,2000,2000,2100,2100,2200,2100,2200,0,0,0,2200,2100,2200,2,2,2,2,2,2,2200,2000,2100,2100,2100,2000
2025-12-15,0,0,0,0,0,0,2200,2100,2100,2100,2200,2100,2100,2100,2200,2000,2000,2100,0,0,0,2100,2000,2100,2100,2100,2000
2025-12-16,400,500,600,600,600,0,1800,1800,2000,2100,2000,2200,2100,2200,2100,2100,2200,2200,2100,2200,2000,2200,2000,2100,2200,2100,2000
2025-12-17,2000,2100,2100,2000,2200,2200,1900,1900,2050,0,0,0,0,0,0,2500,2100,2200,2100,2000,2100,2200,2100,2150,2150,2100,2000
2025-12-18,2100,1900,1900,2100,2200,2200,2000,1900,2050,2200,2100,2000,2100,2200,2100,2,2,2,2,2,2,2200,2000,2150,2100,2100,2000
2025-12-19,500,400,300,400,600,200,2000,2000,2100,0,0,0,0,0,0,0,0,0,0,0,0,2100,2000,2200,2200,2300,2200
2025-12-20,0,0,0,4200,4500,4600,2200,2100,2050,2100,2200,2200,2100,2200,2100,2,2,2,2,2,2,2200,2200,2100,2400,2300,2200
2025-12-21,2100,1900,2200,2000,2100,2100,2000,1900,2000,2100,2000,2200,2100,2100,2200,2,2,2,2,2,2,2200,2200,2100,2400,2250,2150
2025-12-22,0,0,0,0,0,0,0,0,0,2000,2100,2200,2200,2100,2200,0,0,0,2000,2100,2000,2200,2200,2100,2300,2200,2000
2025-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,2100,2000,0,0,0,0,0,0,0,0,0
