Date,F1,,,F2,,,F3,,,F4,,,F5,,,F6,,,F7,,,F8,,,F9,,
,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3
2025-11-25,0,0,0,0,0,0,0,0,0,4.1,4.1,4.1,4.4,4.5,4.3,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-26,200,200,200,200,200,200,0,0,0,4000,4000,4100,0,0,0,0,0,0,0,0,0,4.8,4.5,4.5,4400,4500,4800
2025-11-27,3.5,3.6,3.2,3.3,3.2,3,0,0,0,4400,4500,4100,4200,4400,4000,0,0,0,0,0,0,4.9,4.7,4.1,4.9,4.8,4.8
2025-11-28,500,500,500,500,500,500,4.1,4.1,4,4500,4400,4600,4300,4400,4400,0,0,0,0,0,0,4300,4500,4400,0,0,0
2025-11-29,4.1,4,4.1,4,4.2,4,4,4.1,4,4400,4500,4500,4400,4500,4500,4.4,4.3,4.5,4.3,4.3,4.4,5100,4900,4200,5000,4900,4900
2025-11-30,4,4,4,4.1,4,4,400,400,200,4300,4400,4400,4400,4300,4400,4.4,4.5,4.4,4.2,4.2,4.5,4.5,4.6,4.9,4.7,4.8,5
2025-12-01,4,4.1,4,4.1,4.1,4,500,500,500,4500,4500,4400,4400,4400,4500,4400,4400,4300,4300,4400,4300,0,0,0,4.6,4.9,5
2025-12-02,500,700,500,500,500,700,4.2,4,4.3,4500,4500,4400,4500,4500,4400,4300,4300,4400,4500,4500,4400,5,4.9,4.8,4.9,5,5.1
2025-12-03,4,4,4.4,4,4.2,4.1,4,4,4.1,4500,4600,4400,4700,4700,4600,4.3,4.3,4.3,4.6,4.5,4.5,4.8,4.6,4.5,4.6,4.9,4.5
2025-12-04,0,0,0,0,0,0,4.2,4.3,4.1,4600,4200,4300,4600,4600,4500,4.4,4.5,4.5,4.4,4.3,4.3,4.6,4.5,4.7,4.6,4.5,4.7
2025-12-05,4,4.1,4,4.1,4.2,4.2,4.1,4,4.2,4500,4400,4500,4500,4600,4500,4.3,4.3,4.4,4.2,4.2,4.1,4.5,4.6,4.7,4.8,4.5,4.3
2025-12-06,2100,2000,2000,2100,2200,2200,4.3,4.2,4.4,4200,4400,4500,4400,4500,4400,4.4,4.5,4.4,4.2,4.3,4.2,4.5,4.4,4.5,4.9,5,4.7
2025-12-07,2100,2000,2000,2000,2100,2100,4.5,4.6,4.6,4100,4200,4200,4200,4300,4200,4.3,4.4,4.4,4.5,4.4,4.5,5.1,5,4.9,5,5.2,4.8
2025-12-08,4100,4000,4200,4500,4400,4700,4700,4600,4500,4300,4500,4500,2400,2400,2500,4300,4300,4400,4400,4300,4400,4.9,4.9,4.7,4800,4900,4500
2025-12-09,400,600,300,600,300,300,4.6,4.7,4.6,4600,4400,4300,4500,4400,4500,4500,4400,4500,4400,4400,4500,5,5.1,5,4.5,4.9,4.8
2025-12-10,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.7,4.7,4400,4600,4600,4500,4600,4500,4300,4500,4400,4100,4100,4200,4.5,4.8,4.8,4.6,5,4.7
2025-12-11,4600,4500,4600,4500,4400,4600,4.2,4.5,4.4,4500,4500,4400,4400,4500,4400,0,0,0,0,0,0,4.8,5,4.6,4.6,5.1,4.9
2025-12-12,4400,4300,4500,4300,4300,4500,4,4.2,4.2,0,0,0,0,0,0,4.1,4.2,4.1,4,4,4.1,5,4.8,4.6,4.9,4.8,5
2025-12-13,4600,4600,4500,4400,4500,4500,4.3,4.4,4.3,4.3,4.6,4.6,4600,4500,4500,4.1,4.2,4.2,4.1,4.3,4.3,4.6,5.1,5,4.5,4.9,5
2025-12-14,4400,4100,4300,4300,4300,4600,4.1,4,4,0,0,0,4400,4300,4300,4.5,4.4,4.5,4.5,4.5,4.4,4.8,5,5.1,4.7,5,5.1
2025-12-15,4.5,4.6,4.4,4.4,4.5,4.4,4600,4700,4500,4500,4600,4500,4300,4500,4300,4300,4400,4300,0,0,0,4.6,4.8,4.7,4.5,4.8,4.8
2025-12-16,4.5,4.3,4,4,4,4.3,4,4.2,4,4300,4400,4300,4300,4300,4400,4500,4400,4400,4500,4300,4500,4.5,4.9,4.8,4.7,4.9,4.9
2025-12-17,4500,4000,4800,4500,5000,4100,4,4.3,4.1,0,0,0,0,0,0,4500,4500,4400,4100,4000,4100,4.8,4.9,4.8,4.8,5,4.8
2025-12-18,4400,4500,4500,4600,4400,4700,4.4,4.4,4.5,4600,4500,4500,4600,4600,4500,4.4,4.5,4.5,4.6,4.5,4.5,4.7,4.8,4.8,4.5,4.8,4.7
2025-12-19,4,4.1,4.4,4.2,4,4.4,4.1,4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,4.5,4.5,4.5,5,4.8
2025-12-20,0,0,0,600,300,300,4.2,4,4.3,4100,4000,4000,4400,4400,4300,4.4,4.4,4.3,4.4,4.3,4.4,4.9,4.6,4.8,4.5,5.1,4.9
2025-12-21,4200,4300,4500,4400,4500,4600,4.2,4,4.1,4300,4400,4400,4300,4400,4300,4.5,4.5,4.6,4.5,4.6,4.6,300,600,300,4.9,5,4.7
2025-12-22,4.6,4.6,4.5,4.7,4.5,4.7,4.4,4.3,4.3,4000,4100,4000,4000,4000,4100,0,0,0,4500,4600,4500,500,700,500,500,300,500
2025-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,4400,4500,0,0,0,0,0,0,0,0,0
