Date,F1,,,F2,,,F3,,,F4,,,F5,,,F6,,,F7,,,F8,,,F9,,
,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3,EL1,EL2,EL3
2025-11-25,0,0,0,0,0,0,0,0,0,250,250,50,200,150,150,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-26,250,250,250,300,300,300,0,0,0,250,250,150,0,0,0,0,0,0,0,0,0,200,175,175,150,150,175
2025-11-27,300,300,300,300,300,300,0,0,0,250,250,200,250,200,200,0,0,0,0,0,0,250,150,125,200,300,275
2025-11-28,200,300,300,250,200,250,350,300,300,150,200,150,300,300,150,0,0,0,0,0,0,250,300,300,0,0,0
2025-11-29,300,300,300,300,300,300,250,250,250,250,200,200,100,50,150,250,200,200,400,400,400,50,125,100,300,300,325
2025-11-30,200,300,300,250,300,300,200,250,200,200,250,200,150,50,200,0,250,200,150,300,300,125,100,150,200,200,150
2025-12-01,300,300,300,250,150,200,300,300,300,200,200,200,150,150,150,100,250,250,300,300,300,0,0,0,150,150,100
2025-12-02,250,300,300,300,250,250,250,200,200,250,250,100,150,150,150,0,0,0,250,250,250,100,100,100,250,250,300
2025-12-03,300,300,300,300,250,200,250,250,250,200,300,250,150,150,150,200,150,150,250,300,300,100,50,100,150,200,0
2025-12-04,0,0,0,0,0,0,300,250,300,250,250,150,150,200,150,200,250,150,350,350,400,250,225,200,150,200,300
2025-12-05,250,250,250,200,150,150,300,200,300,150,200,150,250,250,250,200,200,100,250,250,25,325,275,300,275,200,300
2025-12-06,250,300,300,250,150,150,300,300,300,50,50,200,200,250,200,50,0,50,200,250,200,125,75,125,300,325,350
2025-12-07,200,250,250,200,150,150,250,300,300,150,50,200,300,200,250,200,150,150,300,350,350,150,175,125,250,225,300
2025-12-08,250,250,250,300,200,200,300,300,300,150,200,150,200,150,200,250,150,200,200,200,250,50,150,300,200,275,250
2025-12-09,250,250,250,200,150,100,350,350,300,200,300,50,150,200,250,250,200,200,350,350,350,200,150,250,300,200,350
2025-12-10,0,200,0,150,0,0,300,250,250,250,300,100,200,200,200,250,150,200,200,200,200,250,250,200,250,150,225
2025-12-11,50,150,50,250,0,0,300,300,300,150,200,50,200,250,200,0,0,0,0,0,0,250,250,200,250,200,250
2025-12-12,150,300,150,300,150,150,200,200,250,0,0,0,0,0,0,300,300,250,250,300,300,250,200,200,50,50,50
2025-12-13,150,250,200,250,200,200,250,300,300,200,150,200,200,200,200,200,200,200,400,400,450,125,225,175,275,200,300
2025-12-14,200,200,200,250,250,250,300,250,300,0,0,0,200,150,200,150,150,150,150,150,150,200,300,300,250,300,350
2025-12-15,200,250,200,200,200,200,300,250,250,150,150,125,200,300,200,200,150,150,0,0,0,175,250,250,100,100,250
2025-12-16,250,250,250,300,250,300,300,250,200,200,150,200,150,200,100,300,200,200,350,400,400,200,250,300,300,100,350
2025-12-17,200,250,200,200,150,200,350,400,350,0,0,0,0,0,0,100,250,100,300,300,250,75,125,150,100,100,150
2025-12-18,250,300,300,300,300,300,350,400,300,250,300,250,200,200,150,0,300,200,350,300,300,125,100,125,300,350,350
2025-12-19,200,150,250,250,250,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,250,350,200
2025-12-20,0,0,0,200,200,200,300,300,250,250,300,150,200,100,150,150,200,150,350,300,350,150,450,300,175,125,125
2025-12-21,200,200,250,200,150,150,100,100,100,0,50,0,100,100,50,150,250,200,300,300,300,100,150,150,0,100,100
2025-12-22,150,200,200,250,250,250,300,300,300,50,100,150,200,150,150,0,0,0,0,0,0,100,50,150,225,150,150
2025-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,250,200,0,0,0,0,0,0,0,0,0
