Date,Type,Name,F1,F2,F3,F4,F5,F6,F7,F8,F9
2025-11-25,ore,Brequites Berry,,,,2640,,,,,
2025-11-25,coal,COAL,,,,14315,14315,,,,
2025-11-25,ore,IMPORTED Mn SINTER,,,,78835,45739,,,,
2025-11-25,coke,LAM COKE,,,,11293,11293,,,,
2025-11-25,ore,Ore & Metal 37,,,,19258,,,,,
2025-11-25,ore,Ore & Metal 42,,,,9615,23698,,,,
2025-11-25,coke,Ore & Metal MET COKE,,,,8540,8540,,,,
2025-11-25,ore,SANDUR 29,,,,,8904,,,,
2025-11-25,ore,W.M.A Commodities 40,,,,25604,401450,,,,
2025-11-25,ore,WMA Commodities 36,,,,,33795,,,,
2025-11-26,ore,BERRY FM SLAG,15965,11982,21499,,,,,,
2025-11-26,ore,Brequites Berry,,,,2380,,,,5055,2999
2025-11-26,coal,COAL,13742,13727,16664,14600,,,,19089,18818
2025-11-26,ore,COMILOG ERAMET,11972,11968,,,,,,83910,711000
2025-11-26,flux,Dolamite,,,1500,,,,,,
2025-11-26,ore,IMPORTED Mn SINTER,,,,76735,,,,71705,68596
2025-11-26,coke,LAM COKE,6863,6382,4113,20173,,,,20936,20791
2025-11-26,ore,MILIAN LINK 34 Lot 2,11954,11982,3058,,,,,,31787
2025-11-26,ore,Ore & Metal 42,,,,9619,,,,22727,
2025-11-26,coke,Ore & Metal MET COKE,6007,5906,6285,,,,,8107,7547
2025-11-26,flux,Quartz,14691,14729,12252,,,,,,
2025-11-26,ore,W.M.A Commodities 40,,,24220,25605,,,,,
2025-11-26,ore,W.M.A IVORY COAST,11099,11126,15530,,,,,,
2025-11-26,ore,WMA Commodities 36,39896,39888,,19244,,,,27267,26459
2025-11-26,ore,WMA Commodities 37,,,29920,,,,,,
2025-11-27,ore,BERRY FM SLAG,16287,16216,,,,,,,
2025-11-27,ore,Brequites Berry,5000,5000,,3999,,,,3001,29999998
2025-11-27,coal,COAL,15816,15795,,14498,17994,,,18380,18818
2025-11-27,ore,COMILOG ERAMET,12199,12165,,,,,,75336,71100
2025-11-27,flux,Dolamite,556,1084,,,,,,,
2025-11-27,ore,IMPORTED Mn SINTER,,,,,43950,,,,
2025-11-27,ore,IMPORTED SINTER,,,,76823,,,,78579,68596
2025-11-27,coke / Coal,Indian Coke ,4274,4310,,8656,,,,,
2025-11-27,coke,LAM COKE,7255,7025,,11530,20002,,,21802,20791
2025-11-27,ore,MILIAN LINK 34 Lot 2,2952,2481,,,,,,,
2025-11-27,ore,Ore & Metal 42,,,,9572,23953,,,24104,
2025-11-27,coke / Coal,Ore & Metal MET COKE,,,,,,,,7975,7547
2025-11-27,flux,Quartz,14299,14275,,,,,,,
2025-11-27,ore,Remelt ,,,,8020,,,,15151,14695
2025-11-27,ore,SANDUR 29,9026,9716,,,8213,,,,31787
2025-11-27,ore,W.M.A Commodities 40,,,,27099,40202,,,,
2025-11-27,ore,W.M.A IVORY COAST,11298,11331,,,,,,,
2025-11-27,ore,WMA Commodities 36,40613,40596,,19219,34204,,,27554,26459
2025-11-28,ore,BERRY FM SLAG,16053,14842,248521,,,,,,
2025-11-28,ore,Brequites Berry,5000,5000,66063,4272,,,,,
2025-11-28,coke / Coal,COAL,20260,19937,36267,15941,40452,,,17467,
2025-11-28,ore,COMILOG ERAMET,12987,12447,,,,,,59959,
2025-11-28,flux,Dolamite,4000,3934,3200,,,,,,
2025-11-28,ore,IMPORTED SINTER,,,,78789,85372,,,78283,
2025-11-28,coke / Coal,Indian Coke ,,,8370,6754,20364,,,,
2025-11-28,coke / Coal,LAM COKE,8602,8068,10617,15486,14145,,,19580,
2025-11-28,ore,MILIAN LINK 34 Lot 2,,,6024,,,,,,
2025-11-28,ore,Ore & Metal 42,,,,10214,45451,,,23081,
2025-11-28,coke / Coal,Ore & Metal MET COKE,,,1304,,,,,6493,
2025-11-28,flux,Quartz,13394,13436,22422,,,,,622,
2025-11-28,ore,Remelt ,6450,8166,11964,,8004,,,12040,
2025-11-28,ore,SANDUR 29,12025,12231,,,15621,,,,
2025-11-28,ore,W.M.A Commodities 40,,,46968,27706,76968,,,,
2025-11-28,ore,W.M.A IVORY COAST,11081,12296,33484,,,,,,
2025-11-28,ore,WMA Commodities 36,39924,38985,330474,20494,64858,,,24868,
2025-11-29,ore,BERRY FM SLAG,16217,16056,22402,,,,27763.8,,
2025-11-29,ore,Brequites Berry,6000,6000,5996,3871,,56.9,,,399
2025-11-29,coke / Coal,COAL,20585,20264,17883,18977,25005,60.09,20878.41,17040,30555
2025-11-29,ore,COMILOG ERAMET,12180,11962,8187,8184,25185,82.16,,59969,106979
2025-11-29,flux,Dolamite,3708,1238,1700,,,,4138.73,,
2025-11-29,ore,IMPORTED SINTER,,,,69279,35508,80.80000000000001,,80201,155921
2025-11-29,coke / Coal,IMR RAW COKE & STOCK TRANSFER,,,,,,,19.47,,
2025-11-29,coke / Coal,Indian Coke ,,,6418,,,,,,
2025-11-29,coke / Coal,LAM COKE,8878,8324,4353,17197,15056,37.7,18204,18697,33161
2025-11-29,ore,MILIAN LINK 34 Lot 2,,,5269,,,,,,
2025-11-29,ore,Ore & Metal 42,,,,13555,30828,80.78999999999999,,230001,7246
2025-11-29,coke / Coal,Ore & Metal MET COKE,,,,,,,,6238,10636
